Timestamp,Are you:,What is your job title?,How would you rate your level of expertise?,Where are you based?,Country of residence,What is your daily rate in USD ($)?,What is your daily rate in USD ($)?,Do you primarily work …,How do you normally bill for work?,How many hours a day do you normally work?,How many days per week do you normally work?,Where do you primarily work?,Do you use contracts?,Do you usually ask for a deposit up front?,What payment terms do you normally use?,Do you have/use an accountant?,Do you use any accounting software?
1/27/2015 11:14:43,Employed,,Pro,Europe,United Kingdom,337.5,337.5,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"No, I self-account",
1/27/2015 11:44:25,Employed,Developer,Intermediate,Europe,United Kingdom,150,150,In conjunction with other freelancers/agencies,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, fixed amount",Payment within 28 days of completion,"Yes, I use a local accountant",NA
1/12/2015 20:24:31,"Employed, with some freelance projects on the side",Developer,Intermediate,Europe,United Kingdom,400,400,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,more than five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 7 days of completion,"Yes, I use an online service",FreeAgent
1/12/2015 15:26:38,Freelance,Front end developer,Pro,Europe,United Kingdom,450,450,In conjunction with other freelancers/agencies,"Fixed rate, by project",less than seven hours a day,more than five days per week,From home,"No, I don’t normally use contracts",No,Payment greater than 28 days of completion,"No, I self-account",Freeagent
1/12/2015 15:31:03,Freelance,Web Designer/Developer,Pro,Europe,United Kingdom,453,453,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,more than five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use an online service",Crunch
1/12/2015 15:31:51,Freelance,Front-End Developer,Pro,Europe,United Kingdom,450,450,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",Freeagent
1/12/2015 15:33:45,Freelance,Web Designer & Developer,Pro,Europe,United Kingdom,530,530,In conjunction with other freelancers/agencies,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",freeagent
1/12/2015 15:45:35,Freelance,Front-end designer and developer,Pro,Europe,United Kingdom,450,450,Half with clients half with agencies,"Fixed rate, by project",less than seven hours a day,five days per week,Co-working space,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use an online service",Freeagent
1/12/2015 15:52:37,Freelance,Web designer,Pro,Europe,United Kingdom,378,378,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,four days per week,Dedicated office,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"Yes, I use an online service",Freeagent
1/12/2015 15:58:08,Freelance,Director,Pro,Europe,United Kingdom,415,415,As a sub-contractor,"Time-based, day rate",between 7 and 9 hours a day,more than five days per week,Co-working space,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",On completion ,"Yes, I use an online service",Freeagent
1/12/2015 16:00:39,Freelance,Web / UI Designer,Pro,Europe,United Kingdom,490,490,In conjunction with other freelancers/agencies,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"Yes, I use a local accountant",
1/12/2015 16:03:03,Freelance,Software Engineer,Pro,Europe,United Kingdom,450,450,Direct with clients,"Fixed rate, by project",less than seven hours a day,four days per week,From home,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 14 days of completion,"Yes, I use an online service",Freeagent
1/12/2015 16:23:51,Freelance,Web Developer,Pro,Europe,United Kingdom,600,600,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,less than four days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Regular intervals ,"Yes, I use a local accountant",Xero
1/13/2015 13:43:50,Freelance,,Intermediate,Europe,United Kingdom,200,200,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,more than five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use an online service",QuickFile
1/13/2015 22:19:34,Freelance,Developer,Intermediate,Europe,United Kingdom,175,175,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, less than 10% of total estimate",Payment within 7 days of completion,"No, I self-account",
1/14/2015 11:11:17,Freelance,Web designer,Intermediate,Europe,United Kingdom,205,205,Direct with clients,"Time-based, hour rate",less than seven hours a day,less than four days per week,From home,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"No, I self-account",
1/14/2015 11:11:29,Freelance,Not applicable,Pro,Europe,United Kingdom,682,682,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,four days per week,From home,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"Yes, I use a local accountant",Freeagent
1/14/2015 11:11:38,Freelance,,Beginner,Europe,United Kingdom,101,101,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,more than five days per week,From home,"No, I don’t normally use contracts","Yes, less than 10% of total estimate",Payment within 14 days of completion,"No, I self-account",Freeagent
1/14/2015 11:23:18,Freelance,Web Designer and Front End Developer,Pro,Europe,United Kingdom,170,170,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,more than five days per week,From home,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"No, I self-account",
1/14/2015 11:56:25,Freelance,Web Designer,Intermediate,Europe,United Kingdom,450,450,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,less than four days per week,From home,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"No, I self-account",
1/14/2015 14:28:54,Freelance,,Pro,Europe,United Kingdom,1050,1050,Direct with clients,"Time-based, day rate",less than seven hours a day,four days per week,From home,"No, I don’t normally use contracts",No,Payment within 7 days of completion,"Yes, I use a local accountant",Freeagent
1/14/2015 14:45:13,Freelance,Webtaculous,Intermediate,Europe,United Kingdom,75,75,In conjunction with other freelancers/agencies,"Time-based, hour rate",less than seven hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 28 days of completion,"No, I self-account",
1/14/2015 15:03:01,Freelance,Web Developer,Pro,Europe,United Kingdom,337.5,337.5,Direct with clients,"Time-based, hour rate",less than seven hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 28 days of completion,"No, I self-account",Freeagent
1/14/2015 15:37:22,Freelance,,Intermediate,Europe,United Kingdom,300,300,Direct with clients,"Fixed rate, by project",less than seven hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 14 days of completion,"No, I self-account",
1/14/2015 15:43:19,Freelance,Web designer & developer,Intermediate,Europe,United Kingdom,450,450,Direct with clients,"Fixed rate, by project",less than seven hours a day,four days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",
1/14/2015 15:59:19,Freelance,Developer,Intermediate,Europe,United Kingdom,195,195,As a sub-contractor,"Time-based, hour rate",less than seven hours a day,less than four days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",
1/14/2015 17:32:17,Freelance,Web Consultant / Designer,Pro,Europe,United Kingdom,500,500,Direct with clients,"a fixed fee, based on time and value",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate","payment by return, files released when paid (so, before completion)","No, I self-account",freeagent
1/14/2015 17:55:20,Freelance,Web designer,Intermediate,Europe,United Kingdom,337.5,337.5,Direct with clients,"Fixed rate, by project",less than seven hours a day,less than four days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",Freshbooks
1/14/2015 18:18:54,Freelance,Designer,Intermediate,Europe,United Kingdom,420,420,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",payment prior to final upload,"Yes, I use a local accountant",AccountEdge
1/14/2015 20:03:58,Freelance,Software Developer,Intermediate,Europe,United Kingdom,500,500,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Clients office,"Yes, adapted from a template",No,Payment within 14 days of completion,"Yes, I use an online service",Provided by accountant
1/14/2015 20:26:16,Freelance,ux designer,Intermediate,Europe,United Kingdom,£100,100,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",
1/14/2015 20:51:21,Freelance,UX Unicorn,Pro,Europe,United Kingdom,380,380,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template",No,Payment within 28 days of completion,"No, I self-account",
1/14/2015 21:23:28,Freelance,Freelance Ruby Developer,Pro,Europe,United Kingdom,610,610,Direct with clients,"Time-based, day rate",between 9 and 11 hours a day,more than five days per week,Co-working space,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",Freeagent
1/14/2015 21:51:44,Freelance,"Graphic, Web and UI Designer",Pro,Europe,United Kingdom,480,480,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Co-working space,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",Freeagent
1/15/2015 0:42:02,Freelance,UX consultant ,Pro,Europe,United Kingdom,1000,1000,In conjunction with other freelancers/agencies,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Co-working space,"Yes, drafted by lawyer",No,Payment within 14 days of completion,"Yes, I use a local accountant",
1/15/2015 6:45:55,Freelance,Web developer,Pro,Europe,United Kingdom,200,200,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",
1/15/2015 8:55:07,Freelance,Web Developer,Pro,Europe,United Kingdom,525,525,In conjunction with other freelancers/agencies,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"Yes, I use a local accountant",FreeAgent
1/15/2015 9:19:45,Freelance,Head of Visual Content,Intermediate,Europe,United Kingdom,365,365,As a sub-contractor,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"Yes, I use a local accountant",
1/15/2015 10:52:16,Freelance,UX consultant,Pro,Europe,United Kingdom,"$1,000","$1,000",Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,four days per week,From home,"Yes, adapted from a template",No,Payment within 28 days of completion,"Yes, I use a local accountant",Freeagent
1/15/2015 12:59:12,Freelance,,Pro,Europe,United Kingdom,70,70,Direct with clients,"Time-based, hour rate",less than seven hours a day,four days per week,Dedicated office,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"Yes, I use a local accountant",freeagent
1/15/2015 15:17:31,Freelance,wordpress developer,Beginner,Europe,United Kingdom,400,400,Direct with clients,combination of timebased and fixed rate.,between 9 and 11 hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",wave
1/16/2015 7:06:42,Freelance,Digital Developer,Pro,Europe,United Kingdom,400,400,In conjunction with other freelancers/agencies,"Fixed rate, by project",less than seven hours a day,more than five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"No, I self-account",FreeAgent
1/16/2015 15:15:44,Freelance,,Intermediate,Europe,United Kingdom,420,420,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,more than five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",final payment before site goes live,"Yes, I use a local accountant",Clearbooks
1/16/2015 15:52:21,Freelance,independent graphic designer and front-end developer,Intermediate,Europe,United Kingdom,300,300,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,more than five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"No, I self-account",
1/16/2015 17:06:27,Freelance,Digital Designer / Front End Developer,Pro,Europe,United Kingdom,550,550,As a sub-contractor,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Clients offices,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"Yes, I use an online service",Crunch
1/16/2015 23:05:51,Freelance,Artworker,Beginner,Europe,United Kingdom,300,300,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer",No,Payment within 7 days of completion,"Yes, I use an online service",
1/18/2015 10:11:22,Freelance,Web Developer,Pro,Europe,United Kingdom,225,225,As a sub-contractor,"Time-based, day rate",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template",No,Payment within 7 days of completion,"Yes, I use a local accountant",Freshbooks
1/19/2015 10:07:45,Freelance,Software developer,Pro,Europe,United Kingdom,682,682,Direct with clients,"Time-based, hour rate",less than seven hours a day,five days per week,Co-working space,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"Yes, I use a local accountant",
1/19/2015 10:10:14,Freelance,Designer/Developer,Pro,Europe,United Kingdom,450,450,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",FreeAgent
1/19/2015 10:11:12,Freelance,iOS Developer,Pro,Europe,United Kingdom,675,675,Direct with clients,"Fixed rate, by project",less than seven hours a day,more than five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",WaveApps
1/19/2015 10:11:40,Freelance,Digital Freelance Designer ,Intermediate,Europe,United Kingdom,N/A,,Direct with clients,"Time-based, hour rate",between 9 and 11 hours a day,more than five days per week,From home,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 7 days of completion,"Yes, I use an online service",
1/19/2015 10:12:03,Freelance,Owner / Web Developer,Pro,Europe,United Kingdom,270,270,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,From home,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",
1/19/2015 10:15:45,Freelance,Everything.,Pro,Europe,United Kingdom,65,65,Direct with clients,"Time-based, hour rate",less than seven hours a day,more than five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 28 days of completion,"No, I self-account",
1/19/2015 10:17:36,Freelance,Web designer,Pro,Europe,United Kingdom,500,500,Direct with clients,"Time-based, day rate",less than seven hours a day,less than four days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",Freeagent
1/19/2015 10:21:41,Freelance,Front-end developer,Intermediate,Europe,United Kingdom,302.46,302.46,In conjunction with other freelancers/agencies,"Time-based, day rate",between 7 and 9 hours a day,more than five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",Freeagent
1/19/2015 10:22:07,Freelance,Freelance Frontend Web Developer,Pro,Europe,United Kingdom,360,360,"50% client work, 50% for agencies","Fixed rate, by project",between 9 and 11 hours a day,five days per week,From home,"Yes, adapted from a template",No,Payment within 14 days of completion,"Yes, I use an online service",Freeagent
1/19/2015 10:27:28,Freelance,Creative Coder,Pro,Europe,United Kingdom,525,525,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Co-working space,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"Yes, I use a local accountant",Freeagent
1/19/2015 10:28:19,Freelance,Web Designer & Developer,Pro,Europe,United Kingdom,225,225,In conjunction with other freelancers/agencies,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",
1/19/2015 10:31:57,Freelance,Rails Developer,Pro,Europe,United Kingdom,750,750,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment greater than 28 days of completion,"Yes, I use an online service",Freeagent
1/19/2015 10:33:09,Freelance,Digital Designer,Intermediate,Europe,United Kingdom,225,225,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,more than five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"No, I self-account",Freeagent
1/19/2015 10:34:48,Freelance,Animator,Pro,Europe,United Kingdom,600,600,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,less than four days per week,From home,"No, I don’t normally use contracts",No,"Specifying terms usually resulted in companies paying later, so I don't specify terms","Yes, I use a local accountant",
1/19/2015 10:44:31,Freelance,Graphic designer and developer,Pro,Europe,United Kingdom,450,450,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,more than five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",Wave
1/19/2015 10:57:03,Freelance,UI designer,Pro,Europe,United Kingdom,525,525,Direct with clients,"Fixed rate, by project",less than seven hours a day,five days per week,From home,"Yes, drafted by lawyer",No,Payment within 28 days of completion,"No, I self-account",
1/19/2015 10:58:19,Freelance,Developer,Intermediate,Europe,United Kingdom,500,500,In conjunction with other freelancers/agencies,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template",No,Payment within 14 days of completion,"Yes, I use an online service",Crunch
1/19/2015 11:04:22,Freelance,Web Designer and front end developer,Intermediate,Europe,United Kingdom,281,281,Direct with clients,"Fixed rate, by project",less than seven hours a day,five days per week,From home,"Yes, adapted from a template","Yes, fixed amount",Payment within 7 days of completion,"No, I self-account",no
1/19/2015 11:27:15,Freelance,Designer / Developer,Pro,Europe,United Kingdom,455.175,455.175,In conjunction with other freelancers/agencies,"Time-based, hour rate",less than seven hours a day,more than five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 28 days of completion,"No, I self-account",
1/19/2015 12:03:00,Freelance,owner and consultant,Pro,Europe,United Kingdom,600,600,In conjunction with other freelancers/agencies,"Time-based, day rate",between 7 and 9 hours a day,four days per week,Co-working space,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"Yes, I use a local accountant",freeagent
1/19/2015 12:16:02,Freelance,Graphic Designer,Pro,Europe,United Kingdom,300,300,In conjunction with other freelancers/agencies,"Fixed rate, by project",less than seven hours a day,four days per week,From home,"Yes, adapted from a template",No,Payment within 28 days of completion,"No, I self-account",
1/19/2015 12:51:46,Freelance,PHP Web Developer,Intermediate,Europe,United Kingdom,230,230,In conjunction with other freelancers/agencies,"Fixed rate, by project",between 9 and 11 hours a day,more than five days per week,From home,"No, I don’t normally use contracts","Yes, 10-20% of total estimate",Payment within 14 days of completion,"No, I self-account",
1/19/2015 16:40:10,Freelance,Front End Web Developer,Intermediate,Europe,United Kingdom,350,350,As a sub-contractor,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"No, I self-account",
1/19/2015 16:45:33,Freelance,Web developer,Pro,Europe,United Kingdom,530.33,530.33,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",Xero
1/19/2015 16:55:44,Freelance,Print and web designer,Pro,Europe,United Kingdom,300,300,Direct with clients,"Time-based, day rate",less than seven hours a day,four days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",Xero
1/19/2015 17:28:32,Freelance,Web Developer,Intermediate,Europe,United Kingdom,400,400,Direct with clients,"Time-based, hour rate",less than seven hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Due on receipt,"No, I self-account",Freeagent
1/19/2015 17:43:26,Freelance,Dedsigner / Developer,Pro,Europe,United Kingdom,395,395,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,four days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 28 days of completion,"No, I self-account","No, just MS excel"
1/19/2015 18:57:56,Freelance,javascript developer,Pro,Europe,United Kingdom,420,420,In conjunction with other freelancers/agencies,"Fixed rate, by project",between 9 and 11 hours a day,five days per week,From home,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"Yes, I use a local accountant",
1/19/2015 19:00:04,Freelance,Web Developer and Designer,Pro,Europe,United Kingdom,400,400,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",
1/19/2015 19:19:43,Freelance,Freelance Web Developer & Consultant,Pro,Europe,United Kingdom,300,300,As a sub-contractor,"Fixed rate, by project",less than seven hours a day,five days per week,Co-working space,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",
1/19/2015 20:02:32,Freelance,Web designer,Intermediate,Europe,United Kingdom,65,65,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,more than five days per week,From home,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"No, I self-account",
1/19/2015 23:08:28,Freelance,Web Developer,Pro,Europe,United Kingdom,525,525,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Clients' Office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use an online service",Clearbooks
1/20/2015 15:22:13,Freelance,Front End Developer,Intermediate,Europe,United Kingdom,375,375,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,From home,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",FreshBooks 
1/20/2015 15:23:00,Freelance,Freelance Front-End Developer,Pro,Europe,United Kingdom,52.5,52.5,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 14 days of completion,"Yes, I use an online service",Freeagent
1/20/2015 15:23:51,Freelance,Web copywriter,Pro,Europe,United Kingdom,525,525,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,more than five days per week,From home,"Yes, adapted from a template",No,30 days,"Yes, I use a local accountant",Quickbooks
1/20/2015 15:35:59,Freelance,,Pro,Europe,United Kingdom,630,630,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",Freeagent
1/20/2015 15:36:27,Freelance,Designer,Intermediate,Europe,United Kingdom,$450,$450,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,more than five days per week,From home,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",Freeagent
1/20/2015 15:59:37,Freelance,Developer,Pro,Europe,United Kingdom,227.89,227.89,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,more than five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",Sage
1/20/2015 16:01:14,Freelance,designer,Pro,Europe,United Kingdom,500,500,In conjunction with other freelancers/agencies,"Time-based, day rate",less than seven hours a day,four days per week,From home,"Yes, adapted from a template",No,Payment within 7 days of completion,"Yes, I use an online service",freeagent
1/20/2015 20:43:35,Freelance,Web Jedi,Pro,Europe,United Kingdom,450,450,Direct with clients,"Time-based, hour rate",between 9 and 11 hours a day,five days per week,From home,"Yes, adapted from a template",No,Payment within 14 days of completion,"No, I self-account",
1/26/2015 12:37:05,Freelance,Front End Dev,Intermediate,Europe,United Kingdom,300,300,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",Free agent
1/26/2015 12:37:33,Freelance,digital front end developer,Pro,Europe,United Kingdom,600,600,As a sub-contractor,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer",No,Payment within 7 days of completion,"Yes, I use a local accountant",
1/26/2015 12:41:52,Freelance,Designer,Pro,Europe,United Kingdom,600,600,Direct with clients,"Fixed rate, by project",less than seven hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use an online service",Crunch
1/26/2015 12:45:47,Freelance,Designer,Pro,Europe,United Kingdom,400,400,Direct with clients,"Fixed rate, by project",more than 11 hours a day,more than five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",no
1/26/2015 12:51:30,Freelance,Technical consultant,Pro,Europe,United Kingdom,675,675,In conjunction with other freelancers/agencies,"Time-based, day rate",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",Freeagent
1/26/2015 15:34:40,Freelance,web developer,Intermediate,Europe,United Kingdom,281.25,281.25,In conjunction with other freelancers/agencies,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",,"Yes, I use a local accountant",wave
1/27/2015 13:19:24,Freelance,Web Designer,Pro,Europe,United Kingdom,45,45,Direct with clients,"Fixed rate, by project",less than seven hours a day,four days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",Billings
1/27/2015 13:38:31,Freelance,Web Developer,Pro,Europe,United Kingdom,180,180,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, fixed amount",payment before final delivery,"No, I self-account",
1/27/2015 14:46:19,Freelance,,Pro,Europe,United Kingdom,607.53,607.53,Direct with clients,"Fixed rate, by project",less than seven hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",Freeagent
1/27/2015 14:57:26,Freelance,Web applications developer,Pro,Europe,United Kingdom,450,450,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",On golive,"No, I self-account",
1/27/2015 17:41:12,Freelance,director,Pro,Europe,United Kingdom,720,720,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, fixed amount",Payment on completion,"Yes, I use a local accountant",Kashflow
1/28/2015 9:54:22,Freelance,Website Designer,Pro,Europe,United Kingdom,337,337,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,more than five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 7 days of completion,"Yes, I use a local accountant",
1/14/2015 13:59:34,student,web designer,Intermediate,Europe,United Kingdom,300,300,Direct with clients,"Fixed rate, by project",less than seven hours a day,four days per week,From home,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 14 days of completion,"No, I self-account",
1/12/2015 20:51:02,A company (2 or more employees),Vice President,Pro,North America,United States of America,1312.5,1312.5,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate","15 day payment terms, we bill weekly on Mondays for the hours billed the previous week. Nothing is related to task completion.","Yes, I use a local accountant",Quickbooks
